Country_Name,Country_Code,Education,Military,Health_care,GDP
Ghana,GHA,5.354440212,0.592259762,3.55887452,1869
Gibraltar,GIB,,,,
Greece,GRC,3.364579916,2.476949166,8.47012165,20900
Greenland,GRL,,,,
Grenada,GRD,,,7.66909007,7648
Guam,GUM,,,,
Guatemala,GTM,,0.414299766,6.75862604,4899
Guinea,GIN,2.081909895,,3.65332963,934
Guinea-Bissau,GNB,,1.584788181,5.03895833,1042
Guyana,GUY,8.588890076,1.258122936,5.82490165,3791
Haiti,HTI,,0,5.63127188,1372
Heavily indebted poor countries (HIPC),HPC,3.272500038,1.340027652,4.813186101,1164
High income,HIC,5.112555027,2.679775958,10.3648422,28548
Honduras,HND,,1.131309103,6.8768446,2838
Hong Kong SAR. China,HKG,3.903700113,,,27528
Hungary,HUN,4.939610004,1.05199698,7.11497045,13646
IBRD only,IBD,3.775854945,1.902621151,5.411510122,4617
Iceland,ISL,6.795609951,0.132960347,9.12238316,31263
IDA & IBRD total,IBT,3.586050034,1.879335062,5.317322282,3944
IDA blend,IDB,,1.628495708,3.876554929,2565
IDA only,IDX,3.294670105,1.396654331,4.241653694,1286
IDA total,IDA,3.381165028,1.533528917,4.060903523,1763
India,IND,,2.651584952,4.49651024,2105
Indonesia,IDN,2.460030079,0.653776703,2.23198234,4812
Iran. Islamic Rep.,IRN,4.071680069,2.41161265,5.02339127,9739
Iraq,IRQ,,3.178756706,,9810
Ireland,IRL,4.094069958,0.537771701,6.59839384,31773
Isle of Man,IMN,,,,
Israel,ISR,6.377140045,5.872710603,7.61027457,24958
Italy,ITA,4.66700983,1.675091347,8.11320938,28246
Jamaica,JAM,5.414760113,0.92622882,5.33784359,6641
Japan,JPN,3.571290016,1.028301321,7.74668514,26559
Jordan,JOR,,5.529730125,9.90197276,6494
Kazakhstan,KAZ,,0.900279039,3.47096531,9559
Kenya,KEN,5.206210136,1.541418786,4.62224717,1770
Kiribati,KIR,11.98812008,,9.00297707,1420
Korea. Dem. People’s Rep.,PRK,,,,
Korea. Rep.,KOR,3.897429943,2.577345967,4.75962664,19189
Kosovo,KSV,,0.761531737,,4768
Kuwait,KWT,6.585999966,3.501397266,3.60960453,58839
Kyrgyz Republic,KGZ,3.854190111,3.398730931,4.78581,1754
Lao PDR,LAO,1.990280032,0.229498134,4.31878741,1981
Late-demographic dividend,LTE,3.898090005,2.099237488,5.26245662,5057
Latin America & Caribbean (excluding high income),LAC,4.387850046,1.226836209,6.491993664,8580
Latin America & Caribbean,LCN,4.298900127,1.268440992,6.486696634,8831
Latin America & the Caribbean (IDA & IBRD countries),TLA,4.250420094,1.247028124,6.495692245,8639
Latvia,LVA,5.456809998,1.045722164,6.16677115,9029
Least developed countries: UN classification,LDC,3.241340041,1.824921988,4.056012967,1221
Lebanon,LBN,2.841480017,4.058326023,10.90442335,10010
Lesotho,LSO,10.77398968,2.305288724,7.52988554,1365
Liberia,LBR,,0.858742073,6.40765167,673
Libya,LBY,,,4.05766524,17224
Liechtenstein,LIE,,,,
Lithuania,LTU,5.840380192,0.792068414,6.26029317,9664
Low & middle income,LMY,3.684484959,1.883664339,5.277474375,3855
Low income,LIC,3.272500038,1.771130573,4.960581777,885
Lower middle income,LMC,3.854190111,1.834545183,4.173560846,2690
Luxembourg,LUX,3.593019962,0.437747499,7.40182986,56234
Macao SAR. China,MAC,2.858649969,,,34407
Macedonia. FYR,MKD,,1.262188002,8.18345523,6286
Madagascar,MDG,3.250329971,0.727707094,5.17201954,1205
Malawi,MWI,4.508979797,0.659728504,5.07322144,660
Malaysia,MYS,7.484469891,1.574912831,3.39740598,12882
Maldives,MDV,,,5.83855621,5652
Mali,MLI,3.052839994,1.24103333,6.39271264,922
Malta,MLT,,0.600830855,7.11463824,18264
Marshall Islands,MHL,,,18.69292677,2566
Mauritania,MRT,2.839489937,,4.33749659,2204
Mauritius,MUS,3.169759989,0.155629375,3.86541671,9362
Mexico,MEX,4.428319931,0.5525493,5.35288319,10301
Micronesia. Fed. Sts.,FSM,,,8.5835092,2618
Middle East & North Africa (excluding high income),MNA,,2.894252982,5.242037412,7345
Middle East & North Africa (IDA & IBRD countries),TMN,,2.894252982,5.242037412,7391
Middle East & North Africa,MEA,6.20182991,4.615655421,4.95884607,10583
Middle income,MIC,3.848610044,1.885032496,5.282240311,4134
Moldova,MDA,4.84691,0.327388277,6.99630753,2007
Monaco,MCO,,,3.33167925,
Mongolia,MNG,,0.83727024,5.45485747,3849
Montenegro,MNE,,1.748968767,8.22848975,6812
Morocco,MAR,,3.297495235,4.4385331,3846
Mozambique,MOZ,,0.905259783,5.64277897,493
Myanmar,MMR,,,1.80049104,
Namibia,NAM,6.912819862,3.574588953,6.17906153,4926
Nauru,NRU,,,14.27627969,
Nepal,NPL,3.708379984,1.540651697,5.36080541,1286
Netherlands,NLD,4.750770092,1.303254325,7.79322671,32804
New Caledonia,NCL,,,,
New Zealand,NZL,6.560490131,1.234758957,7.57891522,22500
Nicaragua,NIC,,0.527420219,5.25911894,2858
Niger,NER,2.867249966,1.309803688,7.00950375,637
Nigeria,NGA,,0.579227031,3.24623068,2340
North America,NAC,5.223234892,4.233824939,13.42840092,36568
Northern Mariana Islands,MNP,,,,
Norway,NOR,6.829390049,1.451804871,8.64555138,37789
Not classified,INX,,,,
OECD members,OED,5.112555027,2.530821899,10.32592789,25870
Oman,OMN,4.020309925,9.814332746,3.08303075,37159
Other small states,OSS,5.376315117,,4.765447938,11031
Pacific island small states,PSS,,,5.265721553,3840
Pakistan,PAK,,3.285650816,2.60799747,2833
Palau,PLW,7.523479939,,8.62278913,11389
Panama,PAN,4.347380161,0,7.72136354,8226
Papua New Guinea,PNG,,0.498656707,6.67581279,1466
Paraguay,PRY,4.250420094,1.203385288,7.61414476,4797
Peru,PER,3.062890053,1.187208649,4.98481333,5237
Philippines,PHL,3.026619911,1.205253409,2.9983988,3452
Poland,POL,5.329750061,1.788316672,5.85595692,10967
Portugal,PRT,5.335050106,2.002650015,9.1032037,18588
Post-demographic dividend,PST,4.974239826,2.592281583,10.53856413,27756
Pre-demographic dividend,PRE,3.232350111,1.723378311,4.268004906,1896
Puerto Rico,PRI,,,,28866
Qatar,QAT,3.200190067,,2.55647744,89116
Romania,ROU,3.240459919,1.283903017,4.35687135,6509
Russian Federation,RUS,3.106019974,3.456959936,5.67444877,7367
Rwanda,RWA,5.666069984,1.176638066,4.38001652,678
Samoa,WSM,3.826289892,,5.15897595,3729
San Marino,SMR,,,4.70998606,
Sao Tome and Principe,STP,,,10.27774064,1704
Saudi Arabia,SAU,7.766329765,7.248760281,4.48913476,28002
Senegal,SEN,3.294670105,1.594040937,4.97866497,1589
Serbia,SRB,,2.124010495,6.88541032,6215
Seychelles,SYC,,0.817459836,4.45396104,14607
Sierra Leone,SLE,3.46765995,0.853313909,11.8345473,743
Singapore,SGP,3.551369905,3.241803954,2.3688879,40358
Sint Maarten (Dutch part),SXM,,,,
Slovak Republic,SVK,3.941989899,1.087396282,5.50461613,12236
Slovenia,SVN,5.757090092,1.297853714,8.56912386,18796
Small states,SST,5.325620174,,4.871834541,10142
Solomon Islands,SLB,,,6.4432523,1256
Somalia,SOM,,,,
South Africa,ZAF,5.159480095,1.10278667,8.31481812,8097
South Asia (IDA & IBRD),TSA,,2.545419885,4.108283435,2109
South Asia,SAS,,2.545419885,4.108283435,2109
South Sudan,SSD,,5.905212321,,
Spain,ESP,4.119880199,1.323602198,7.24157367,23218
Sri Lanka,LKA,,2.683158092,3.80731091,4419
St. Kitts and Nevis,KNA,4.404029846,,4.97210133,16007
St. Lucia,LCA,6.862110138,,6.09831345,7777
St. Martin (French part),MAF,,,,
St. Vincent and the Grenadines,VCT,,,3.64487016,6224
Sub-Saharan Africa (excluding high income),SSA,3.46765995,1.304749864,5.794379409,1970
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.46765995,1.304378858,5.791903819,1971
Sub-Saharan Africa,SSF,3.46765995,1.304378858,5.791903819,1971
Sudan,SDN,,,2.96223361,1873
Suriname,SUR,,,8.37819571,8092
Swaziland,SWZ,5.516149998,2.148471415,5.11405331,5562
Sweden,SWE,6.686009884,1.123181599,8.85949228,29818
Switzerland,CHE,4.959849834,0.714349522,10.28167391,35381
Syrian Arab Republic,SYR,4.360469818,,4.91523547,
Tajikistan,TJK,2.37658,1.093741167,4.58575814,1041
Tanzania,TZA,,0.916153061,3.27675923,1246
Thailand,THA,4.817860126,1.487548986,3.73841269,7650
Timor-Leste,TLS,,1.804042179,3.74927975,1304
Togo,TGO,4.187789917,1.571312502,4.28754557,1011
Tonga,TON,4.532559872,,5.65871081,3849
Trinidad and Tobago,TTO,3.065299988,0.598450367,4.39833331,15260
Tunisia,TUN,6.20182991,1.561274077,5.29072381,6435
Turkey,TUR,2.711849928,2.233529806,5.16018215,8749
Turkmenistan,TKM,,,3.87186243,4475
Turks and Caicos Islands,TCA,,,,
Tuvalu,TUV,,,17.43301317,2510
Uganda,UGA,,3.253449059,7.26084954,878
Ukraine,UKR,4.680490017,2.258323327,5.65578135,4300
United Arab Emirates,ARE,,5.503679015,2.48427471,83533
United Kingdom,GBR,4.392149925,2.322798059,7.31085769,28821
United States,USA,5.457839966,4.583975977,13.72876259,37273
Upper middle income,UMC,3.843029976,1.898034961,5.607235545,5618
Uruguay,URY,2.800960064,1.755696239,7.45887275,10018
Uzbekistan,UZB,,,5.27690086,2061
Vanuatu,VUT,8.95114994,,3.36538173,2159
Venezuela. RB,VEN,,0.753524678,5.20843586,11862
Vietnam,VNM,,1.982099234,5.17364313,2252
Virgin Islands (U.S.),VIR,,,,
West Bank and Gaza,PSE,,,,3106
World,WLD,4.106975079,2.415046595,9.433388173,8166
Yemen. Rep.,YEM,9.244709969,5.187624348,4.33521896,3236
Zambia,ZMB,,1.31763957,6.56316538,1740
Zimbabwe,ZWE,,1.811189265,6.15713524,2056
