Country_Name,Country_Code,Education,Military,Health_care,GDP
Central Europe and the Baltics,CEB,4.628779888,1.893619591,6.989849104,21839
Chad,TCD,2.2579,1.532300729,3.16873244,1862
Channel Islands,CHI,,,,
Chile,CHL,4.068099976,2.617046581,7.00457914,20266
China,CHN,,2.092370499,5.02886408,10274
Colombia,COL,4.45980978,3.323872819,6.63578902,11496
Comoros,COM,5.109330177,,6.09705013,1347
Congo. Dem. Rep.,COD,,,3.53486147,617
Congo. Rep.,COG,,1.948493873,2.79015169,5632
Costa Rica,CRI,6.615880013,0,9.72939981,13072
Cote d'Ivoire,CIV,,,6.42052546,2546
Croatia,HRV,4.157949924,2.702773772,7.79909419,20571
Cuba,CUB,,,10.59691898,18924
Curacao,CUW,,,,
Cyprus,CYP,6.64467001,3.174261676,7.53731961,32983
Czech Republic,CZE,4.284080029,1.755096912,7.50106056,28604
Denmark,DNK,8.547120094,1.53238072,10.86554541,43314
Djibouti,DJI,,4.550548213,8.71121911,2782
Dominica,DMA,,,5.63311849,10189
Dominican Republic,DOM,,1.247951667,4.21893383,11375
Early-demographic dividend,EAR,,2.58931554,5.110407792,7231
East Asia & Pacific (excluding high income),EAP,,1.880962003,4.805844949,9490
East Asia & Pacific (IDA & IBRD countries),TEA,,1.880962003,4.805844949,9591
East Asia & Pacific,EAS,4.708650112,1.477198393,7.001436681,12417
Ecuador,ECU,4.314549923,1.569375982,5.9151677,9926
Egypt. Arab Rep.,EGY,,3.139252858,5.03966667,10071
El Salvador,SLV,3.417490005,1.090673504,6.8080665,7596
Equatorial Guinea,GNQ,,,3.29221335,36754
Eritrea,ERI,,22.13679153,3.06088999,1411
Estonia,EST,5.017380238,1.502213902,5.8320426,23954
Ethiopia,ETH,5.485770226,4.315901098,6.54770287,1165
Euro area,EMU,5.319065094,1.739245877,10.32371684,37274
Europe & Central Asia (excluding high income),ECA,3.935110092,3.38822099,6.12502507,16822
Europe & Central Asia (IDA & IBRD countries),TEC,4.157949924,3.053044487,6.219355206,17347
Europe & Central Asia,ECS,5.005400181,1.916854478,9.436441775,27480
European Union,EUU,5.12127018,1.841589863,10.01037105,34555
Faroe Islands,FRO,,,,
Fiji,FJI,4.173049927,1.97650996,4.05573589,7486
Finland,FIN,6.482009888,1.144512833,9.01149493,40251
Fragile and conflict affected situations,FCS,,3.685134192,5.219586996,3307
France,FRA,5.515860081,2.407503679,11.33488998,37325
French Polynesia,PYF,,,,
Gabon,GAB,,1.793952098,3.12257014,17100
Gambia. The,GMB,3.89921999,0.357026297,6.24125427,1532
Georgia,GEO,2.696219921,0.740186006,9.38218863,7315
Germany,DEU,4.807799816,1.405968301,10.93273699,42142
Ghana,GHA,8.14097023,0.608709585,4.80741948,3430
Gibraltar,GIB,,,,
Greece,GRC,,3.251412857,9.77188991,26626
Greenland,GRL,,,,
Grenada,GRD,,,6.34947937,11221
Guam,GUM,,,,
Guatemala,GTM,2.920140028,1.052063338,6.28384359,6798
Guinea,GIN,3.062839985,3.100210665,4.73099737,1183
Guinea-Bissau,GNB,1.84897995,1.576220201,5.45611123,1416
Guyana,GUY,3.591239929,2.063973957,6.79708665,6077
Haiti,HTI,,0,10.41487851,1562
Heavily indebted poor countries (HIPC),HPC,4.087910175,1.959439273,6.101893063,1847
High income,HIC,5.110170126,2.271510856,11.99672756,40449
Honduras,HND,,0.822610515,8.56802118,4433
Hong Kong SAR. China,HKG,3.418230057,,,50085
Hungary,HUN,4.628779888,1.574951902,7.84003067,22603
IBRD only,IBD,4.314549923,2.050838947,5.703457207,10103
Iceland,ISL,7.047520161,,8.65326311,39557
IDA & IBRD total,IBT,4.182564974,2.058527443,5.638215912,8298
IDA blend,IDB,4.609020233,2.860569429,4.097641916,4742
IDA only,IDX,,1.545823644,5.63624425,2113
IDA total,IDA,4.087910175,2.179318273,4.74648403,3073
India,IND,3.723210096,2.924435546,4.33115071,4634
Indonesia,IDN,3.189440012,0.572791957,2.7131643,8870
Iran. Islamic Rep.,IRN,3.658620119,2.465876519,7.12442249,17949
Iraq,IRQ,,,3.31821307,13203
Ireland,IRL,5.753419876,0.703894575,8.14533747,45673
Isle of Man,IMN,,,,
Israel,ISR,5.560639858,7.288159034,7.39438605,30574
Italy,ITA,4.140530109,1.89330863,9.27499911,35870
Jamaica,JAM,6.267680168,0.509359166,5.21156436,8481
Japan,JPN,3.778270006,0.979792627,10.07184997,34335
Jordan,JOR,,5.894372653,8.38611431,10324
Kazakhstan,KAZ,,0.999817479,4.05524966,22134
Kenya,KEN,,1.504428942,5.2314281,2622
Kiribati,KIR,,,10.42241736,1659
Korea. Dem. People’s Rep.,PRK,,,,
Korea. Rep.,KOR,,2.427877741,6.83252287,31327
Kosovo,KSV,,,,8222
Kuwait,KWT,,7.69709996,2.61661289,76308
Kyrgyz Republic,KGZ,6.79061985,2.346375974,6.17973864,2920
Lao PDR,LAO,,0.717115235,2.19661784,4233
Late-demographic dividend,LTE,4.551000118,2.450746933,5.87351377,12618
Latin America & Caribbean (excluding high income),LAC,4.966440201,1.273296323,7.042248283,13831
Latin America & Caribbean,LCN,4.45980978,1.327647219,7.040041168,14233
Latin America & the Caribbean (IDA & IBRD countries),TLA,4.45980978,1.327647219,6.997824699,13982
Latvia,LVA,4.951240063,1.04190566,6.09974017,19451
Least developed countries: UN classification,LDC,3.993565083,1.799376557,5.156937905,2115
Lebanon,LBN,1.646260023,5.430901642,7.12492597,15683
Lesotho,LSO,,3.311288061,11.78852824,2297
Liberia,LBR,,,11.23228864,732
Libya,LBY,,2.403100775,4.77000711,11023
Liechtenstein,LIE,2.556040049,,,
Lithuania,LTU,5.122270107,1.36194364,6.85596808,22541
Low & middle income,LMY,4.147545099,2.05532553,5.603863717,8140
Low income,LIC,3.993565083,2.241724365,6.303209807,1404
Lower middle income,LMC,,2.373600949,4.274360025,5174
Luxembourg,LUX,,0.761380108,7.3409169,91073
Macao SAR. China,MAC,2.690690041,,,117340
Macedonia. FYR,MKD,,6.100406905,6.61114716,11641
Madagascar,MDG,2.781120062,1.435843753,4.2355947,1371
Malawi,MWI,5.35337019,0.738822811,11.67225735,1078
Malaysia,MYS,5.76293993,2.084922812,3.88778674,21866
Maldives,MDV,5.994820118,,8.11412868,11126
Mali,MLI,4.575960159,1.295172228,6.58863181,1862
Malta,MLT,7.963749886,0.692249629,9.59870689,28177
Marshall Islands,MHL,,,17.18970115,3505
Mauritania,MRT,3.077909946,4.002384422,2.86968767,3403
Mauritius,MUS,3.410840034,0.197886912,5.02482988,16179
Mexico,MEX,5.154250145,0.488508913,6.04343893,15754
Micronesia. Fed. Sts.,FSM,,,13.75699709,3410
Middle East & North Africa (excluding high income),MNA,,3.249946063,5.930551669,11577
Middle East & North Africa (IDA & IBRD countries),TMN,,3.249946063,5.930551669,11663
Middle East & North Africa,MEA,,6.097891221,4.858040273,17024
Middle income,MIC,,2.052811395,5.59533248,8872
Moldova,MDA,8.559700012,0.40259686,10.61121439,4179
Monaco,MCO,1.591420054,,4.19310875,
Mongolia,MNG,4.609020233,1.823722843,4.45434197,8889
Montenegro,MNE,,,6.92483198,14215
Morocco,MAR,,3.726135882,5.98875179,6746
Mozambique,MOZ,,1.06188321,6.23470157,951
Myanmar,MMR,,1.800056475,1.86845552,
Namibia,NAM,,2.728019683,8.78046547,8625
Nauru,NRU,,,7.66603943,
Nepal,NPL,,1.098333254,6.72915248,2042
Netherlands,NLD,5.526169777,1.453546915,10.52716599,46388
New Caledonia,NCL,,,,
New Zealand,NZL,6.99861002,1.472279197,11.24147297,32734
Nicaragua,NIC,,0.526806207,6.39394228,4223
Niger,NER,4.207180023,1.276297335,6.66032034,807
Nigeria,NGA,,1.292833438,3.68701062,5230
North America,NAC,5.248169899,2.827193114,16.41263489,48967
Northern Mariana Islands,MNP,,,,
Norway,NOR,6.456170082,1.70454146,9.13551098,62736
Not classified,INX,,,,
OECD members,OED,5.189069986,2.130387771,12.07875209,36208
Oman,OMN,,12.47442943,2.49265722,42479
Other small states,OSS,4.514810085,,3.992724562,22386
Pacific island small states,PSS,,,5.380956108,4930
Pakistan,PAK,2.221750021,4.18064868,3.00636984,4322
Palau,PLW,,,9.29484695,12947
Panama,PAN,3.29343009,0,7.50141666,17058
Papua New Guinea,PNG,,0.822407972,4.94295908,2345
Paraguay,PRY,4.966440201,1.257068867,9.4235562,7504
Peru,PER,2.681610107,1.752019094,4.92714048,10379
Philippines,PHL,,1.471378841,4.28992635,5754
Poland,POL,4.820940018,1.905638001,6.7023798,22520
Portugal,PRT,5.12127018,1.912719868,10.06864127,26932
Post-demographic dividend,PST,5.122270107,2.156373651,12.41025046,39017
Pre-demographic dividend,PRE,3.077909946,1.915639799,4.411498068,3232
Puerto Rico,PRI,,,,34195
Qatar,QAT,4.012239933,,1.92658264,134117
Romania,ROU,3.027750015,2.420745188,5.52618204,17624
Russian Federation,RUS,,3.810322465,6.61180659,24074
Rwanda,RWA,4.71130991,3.396812701,7.71014085,1397
Samoa,WSM,,,5.79833054,5674
San Marino,SMR,2.383729935,,5.71712772,
Sao Tome and Principe,STP,,,5.44255012,2839
Saudi Arabia,SAU,,11.48921165,3.56571403,47474
Senegal,SEN,,1.412401688,4.41690185,2159
Serbia,SRB,4.492980003,4.027571198,9.72329413,12571
Seychelles,SYC,3.606460094,1.778265522,3.38253043,22556
Sierra Leone,SLE,2.707540035,2.770887768,11.98498249,1414
Singapore,SGP,3.074189901,4.826249999,3.93233174,74910
Sint Maarten (Dutch part),SXM,,,,36327
Slovak Republic,SVK,3.972640038,1.84316099,7.95706221,25167
Slovenia,SVN,5.565629959,1.300482296,9.0771408,28513
Small states,SST,5.017380238,,4.261168514,19711
Solomon Islands,SLB,,,5.08309566,1976
Somalia,SOM,,,,
South Africa,ZAF,5.962749958,1.483163339,8.61362713,12291
South Asia (IDA & IBRD),TSA,2.972480059,2.836431932,4.161561907,4376
South Asia,SAS,2.972480059,2.836431932,4.161561907,4376
South Sudan,SSD,0.805209994,,,3461
Spain,ESP,4.866509914,1.632996821,9.47835693,32530
Sri Lanka,LKA,1.808609962,4.286989181,3.2814775,9213
St. Kitts and Nevis,KNA,,,5.88112635,20571
St. Lucia,LCA,4.269589901,,7.58420617,10538
St. Martin (French part),MAF,,,,
St. Vincent and the Grenadines,VCT,,,4.99199565,9871
Sub-Saharan Africa (excluding high income),SSA,3.89921999,1.861189237,5.813611689,3283
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.89921999,1.861022603,5.811893109,3285
Sub-Saharan Africa,SSF,3.89921999,1.861022603,5.811893109,3285
Sudan,SDN,,2.943904368,8.02944311,3478
Suriname,SUR,,,5.93024378,15119
Swaziland,SWZ,8.636949539,1.457397173,8.61329306,7620
Sweden,SWE,6.491109848,1.720611913,11.70251308,43709
Switzerland,CHE,4.993420124,0.991888974,11.21213823,54550
Syrian Arab Republic,SYR,,5.256441186,3.23254125,
Tajikistan,TJK,3.935110092,1.153633687,5.98248817,2229
Tanzania,TZA,,1.451604644,5.71831577,2206
Thailand,THA,4.808279991,1.433787439,5.91425697,13654
Timor-Leste,TLS,9.338399887,,0.75749142,1965
Togo,TGO,4.437069893,,5.20927104,1255
Tonga,TON,,,4.06038924,5030
Trinidad and Tobago,TTO,,0.158024768,5.05638554,29765
Tunisia,TUN,,1.521112564,7.15464127,10203
Turkey,TUR,,3.681529298,5.28676115,17796
Turkmenistan,TKM,,,1.98105412,11360
Turks and Caicos Islands,TCA,,,,
Tuvalu,TUV,,,16.97994463,3488
Uganda,UGA,2.695869923,2.321654155,9.08972092,1648
Ukraine,UKR,6.162380219,2.863999216,6.98430531,8281
United Arab Emirates,ARE,,5.612105047,3.7038587,57594
United Kingdom,GBR,5.762050152,2.300193342,9.33870027,36590
United States,USA,5.223889828,2.944343646,17.05713122,49781
Upper middle income,UMC,4.476394892,1.961570557,5.943846811,12977
Uruguay,URY,4.355269909,2.505810491,8.55410488,17904
Uzbekistan,UZB,,0.834782696,5.64815804,4412
Vanuatu,VUT,,,3.84552673,2915
Venezuela. RB,VEN,,1.555107911,5.2449473,17001
Vietnam,VNM,,,6.2016319,4715
Virgin Islands (U.S.),VIR,,,,
West Bank and Gaza,PSE,,,,4356
World,WLD,4.618900061,2.232844309,9.847347406,13480
Yemen. Rep.,YEM,,5.481014692,5.0414585,3616
Zambia,ZMB,,,4.262571,3342
Zimbabwe,ZWE,,4.230245333,6.30657418,1523
